,n_estimators,score,sensitivity,specificity
0,1,0.8709677419354839,0.8833333333333333,0.5
1,5,0.9516129032258065,0.9666666666666667,0.5
2,10,0.967741935483871,0.9833333333333333,0.5
3,50,0.967741935483871,0.9833333333333333,0.5
4,100,0.967741935483871,0.9833333333333333,0.5
5,200,0.967741935483871,0.9833333333333333,0.5
6,300,0.967741935483871,0.9833333333333333,0.5
