,max_depth,score,sensitivity,specificity
0,,0.967741935483871,0.9833333333333333,0.5
1,10.0,0.967741935483871,0.9833333333333333,0.5
2,20.0,0.967741935483871,0.9833333333333333,0.5
3,30.0,0.967741935483871,0.9833333333333333,0.5
4,40.0,0.967741935483871,0.9833333333333333,0.5
