kernel,score,sensitivity,specificity
linear,0.967741935483871,0.9833333333333333,0.5
poly,0.9193548387096774,0.9166666666666666,1.0
rbf,0.9193548387096774,0.9166666666666666,1.0
sigmoid,0.8225806451612904,0.85,0.0
