k,score,sensitivity,specificity
2,0.8548387096774194,0.8666666666666667,0.5
3,0.9516129032258065,0.9666666666666667,0.5
4,0.9032258064516129,0.9166666666666666,0.5
5,0.9354838709677419,0.95,0.5
10,0.9516129032258065,0.9666666666666667,0.5
50,0.967741935483871,1.0,0.0
100,0.967741935483871,1.0,0.0
150,0.967741935483871,1.0,0.0
